"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-09",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"29",",,0","20",",,0","22",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-10",,,,,,,"0.13",",,0,0800","0.0","P,,0,",,,,,"33",",,0","22",",,0","27",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-11",,,,,,,"0.15",",,0,0800","0.3",",,0,",,,,,"33",",,0","20",",,0","21",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-12",,,,,,,"0.03",",,0,0800","0.3",",,0,",,,,,"29",",,0","18",",,0","19",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-13",,,,,,,"0.00","T,,0,0800","0.0","T,,0,",,,,,"28",",,0","18",",,0","21",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-14",,,,,,,"0.00","T,,0,0800","0.0","T,,0,",,,,,"31",",,0","19",",,0","20",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-15",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"28",",,0","8",",,0","9",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-16",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"25",",,0","9",",,0","11",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-17",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"26",",,0","-2",",,0","-2",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-18",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"10",",,0","-7",",,0","-6",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-19",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"16",",,0","-5",",,0","0",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-20",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"28",",,0","0",",,0","16",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-21",,,,,,,"0.55",",,0,0800","5.0",",,0,",,,,,"28",",,0","16",",,0","25",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-22",,,,,,,"0.60",",,0,0800","5.5",",,0,",,,,,"30",",,0","14",",,0","15",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-23",,,,,,,"0.05",",,0,0800",,,"11.0",",,0,",,,"25",",,0","-2",",,0","3",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-24",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"20",",,0","-15",",,0","-11",",,0,0800",,,,
